RegionName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
Kern County,1069.150453,1080.279536,1079.982424,1082.292421,1081.389418,1073.709827,1072.11389,1073.365979,1077.477124,1072.67298,1071.001759,1079.223212,1087.668463,1094.874798,1091.974592,1097.00845,1103.365351,1103.189937,1100.807451,1098.807398,1103.207246,1103.821423,1108.739122,1113.100363,1121.016298,1125.882108,1130.327844,1134.280037,1137.533932,1134.48727,1137.626998,1139.348743,1146.373631,1144.935973,1152.365796,1156.343368,1163.100833,1166.524194,1169.816699,1177.934387,1181.352699,1180.930848,1182.311605,1189.61555,1196.236373,1198.931719,1201.878228,1209.598643,1217.180973,1226.614209,1232.628573,1244.028442,1245.979045,1246.532013,1246.279738,1255.448131,1261.76581,1264.677422,1268.176084,1281.032008,1282.850503,1284.565367,1280.680622,1298.119999,1320.862008,1348.015988,1359.700134,1368.814825,1374.777231,1382.688799,1399.381282,1410.329335,1428.016792,1439.961835,1461.229617,1481.796305,1493.717368,1500.858158,1542.574434,1565.398007,1614.428882,1627.22245,1641.239207,1667.131431,1676.029893,1700.84762,1722.069688,1745.262611,1760.893963,1751.753299,1752.759322,1770.195775
San Francisco County,3319.515195,3353.022534,3366.250901,3349.011782,3380.167669,3392.650512,3391.491995,3394.737902,3382.713647,3414.872533,3446.869102,3485.035796,3508.256903,3493.072267,3466.210777,3435.843243,3442.351153,3427.031786,3398.70994,3346.227717,3314.339498,3313.069512,3327.880427,3361.508796,3395.32129,3413.842292,3429.894172,3421.925955,3434.116082,3418.645959,3421.287562,3422.374242,3413.330789,3415.958264,3429.087091,3466.472757,3504.209141,3513.269499,3512.257454,3497.096687,3508.822647,3518.381325,3526.484365,3515.056339,3514.712522,3533.689855,3548.214772,3575.618045,3596.898785,3618.573358,3610.644545,3609.279086,3622.365986,3624.499731,3611.48759,3588.234025,3583.201348,3599.475287,3618.560048,3650.574437,3653.7694,3640.808779,3587.787699,3526.140023,,,,3110.770676,3057.347333,3025.838422,3025.262956,3029.661439,3074.668972,3106.792211,3148.608318,3190.895087,3266.706028,3329.409427,3371.172529,3370.683913,3375.211678,3388.070281,3421.956055,3454.747438,3488.147326,3508.63153,3523.412491,3516.84164,3509.311,3515.457489,3540.482744,3554.315163
Ventura County,1975.048701,1991.106937,2015.837304,2018.013392,2032.012622,2040.602099,2054.080608,2060.53379,2060.35047,2059.518508,2056.583698,2057.420202,2074.957615,2084.569199,2096.222631,2095.682221,2117.121981,2130.440571,2137.119455,2147.731791,2153.373202,2158.525856,2152.656192,2159.660736,2180.615617,2194.962709,2209.607675,2209.886369,2220.909546,2226.805997,2238.882227,2242.473188,2239.786568,2247.726028,2253.526207,2273.502309,2277.368901,2281.138916,2282.061509,2294.115579,2312.515348,2324.803352,2326.322489,2337.525468,2339.927083,2346.370014,2345.910469,2351.507911,2362.007631,2355.544957,2358.570047,2369.058891,2392.606656,2397.521285,2394.71084,2396.081761,2408.357121,2414.700002,2420.304679,2419.977557,2418.306945,2402.974964,2396.459301,2394.386214,2412.261904,2422.26148,2440.089751,2457.64817,2478.607509,2508.304209,2529.760345,2540.278011,2558.331812,2606.703183,2645.842372,2689.648458,2702.730871,2735.73489,2770.089456,2807.94721,2837.15112,2864.458956,2883.779719,2915.26763,2924.520403,2954.457296,2980.33934,2983.703187,2980.475027,2978.274597,2992.549786,3003.450439
San Mateo County,2820.641671,2820.302709,2858.211478,2871.901778,2913.220701,2934.627799,2972.875575,2998.760572,3007.268346,3008.077765,3019.257169,3031.475272,3046.367154,3042.09412,3032.495635,3025.379569,3028.734503,3058.759081,3055.767515,3071.721945,3072.821859,3074.23914,3090.940894,3102.970958,3120.016196,3108.406438,3104.922755,3104.925149,3117.767383,3131.093219,3156.269222,3168.244208,3162.805438,3177.467106,3195.669033,3202.809096,3176.892406,3158.64495,3179.588255,3203.292107,3238.754745,3247.495922,3248.868435,3249.166859,3258.066245,3275.745145,3309.456837,3324.403464,3342.271383,3324.364778,3320.056618,3325.926351,3351.82331,3366.166945,3365.692795,3344.901268,3347.512785,3355.10499,3396.489183,3418.69784,3435.00072,3403.555519,3362.311435,3296.779717,3254.378968,3199.327509,3155.846859,3117.301918,3089.220764,3081.035078,3076.488446,3079.00235,3077.751075,3077.147898,3088.701447,3110.144555,3166.928132,3217.044525,3253.66947,3261.86931,3274.864207,3315.396737,3345.816757,3383.613145,3401.540079,3422.707413,3440.470196,3449.205547,3460.594748,3465.176325,3470.310169,3465.984145
San Joaquin County,1384.393081,1400.294466,1408.7684,1417.424237,1417.110063,1433.57502,1442.508458,1462.009362,1463.845245,1473.589183,1482.297924,1498.636611,1510.135504,1521.155267,1524.371974,1541.715596,1551.891172,1561.716218,1570.5463,1582.770701,1596.750999,1613.842251,1625.64792,1633.27543,1630.208863,1645.608176,1653.666531,1666.952085,1675.317878,1697.526964,1713.294833,1715.968451,1708.85672,1716.978322,1731.97376,1742.877025,1750.384153,1760.200433,1770.761246,1777.338648,1784.814531,1798.489558,1806.75567,1811.569776,1818.399522,1824.435707,1833.219954,1830.30897,1841.123052,1854.180328,1863.562532,1872.05971,1877.992063,1886.778312,1887.476353,1894.928689,1905.473776,1930.296614,1951.507758,1965.411841,1964.990598,1961.959965,1961.198463,1962.305966,1969.108611,1987.255373,2004.739328,2022.291563,2038.391536,2079.124796,2110.895277,2124.905822,2150.350331,2179.544872,2251.79075,2292.555072,2327.987527,2336.941749,2346.103901,2356.258503,2351.387471,2360.804296,2378.253985,2414.409757,2441.499243,2470.253011,2480.028327,2479.082018,2467.059963,2462.443846,2461.619244,2455.431984
Stanislaus County,1029.371045,1031.729335,1049.074367,1059.619389,1073.007433,1074.640056,1085.369438,1088.893473,1093.06295,1092.660901,1096.135698,1109.88311,1130.866325,1148.012545,1157.666384,1166.587786,1176.428418,1187.75826,1190.320969,1200.628786,1207.375657,1207.28703,1215.12201,1230.827794,1244.448881,1253.46368,1260.55465,1280.720133,1291.250985,1295.805027,1315.572398,1309.405851,1310.554359,1280.568013,1293.668918,1300.609677,1328.256338,1337.944015,1351.718964,1360.488029,1368.474828,1380.419685,1389.472047,1403.28878,1403.739551,1412.555421,1408.010416,1410.825997,1403.441094,1410.09854,1421.41753,1432.989807,1442.179157,1448.670281,1452.690469,1467.006526,1470.495488,1487.548987,1488.922825,1503.053231,1512.891869,1515.566074,1517.235156,1522.321457,1544.035576,1556.810586,1559.729632,1589.363138,1609.101022,1634.789916,1643.825657,1656.943901,1683.97183,1692.195732,1732.065124,1753.760736,1791.198344,1800.113888,1810.407684,1819.202656,1847.53834,1872.702656,1900.578668,1909.824976,1927.325042,1949.521893,1950.511662,1949.435016,1939.826852,1961.20351,1964.130272,1960.768993
Sonoma County,1840.096216,1874.160781,1892.864416,1893.347574,1889.18388,1892.873232,1900.239158,1908.111417,1938.104474,1963.102212,1986.88106,1993.881921,2032.339957,2041.183589,2064.092359,2058.519923,2070.858906,2071.056813,2065.58654,2079.045087,2090.77593,2085.529959,2081.933557,2102.165953,2122.616553,2144.689293,2145.204529,2156.663367,2158.770953,2162.575607,2173.151016,2189.72286,2234.755068,2263.940638,2301.205975,2314.375417,2331.096818,2337.106316,2331.234527,2332.327786,2328.802741,2317.408461,2310.644125,2309.675718,2317.481771,2318.428888,2309.612433,2315.315524,2328.27906,2334.4481,2336.009874,2321.449191,2318.549243,2311.747479,2310.055266,2308.1221,2319.235995,2330.384016,2341.120885,2344.024192,2349.723356,2351.451089,2336.593466,2324.52832,2326.787995,2327.958856,2349.161211,2360.64285,2385.758523,2381.378701,2373.54793,2379.132917,2394.285328,2418.704549,2442.834982,2462.130772,2486.502802,2508.831968,2566.542861,2588.75916,2606.487905,2598.664838,2631.157935,2670.709826,2709.088636,2742.592507,2750.558736,2746.055297,2744.401997,2734.481156,2743.878191,2737.10144
Tulare County,1146.800958,1140.622578,1146.673792,1147.820984,1156.315456,1150.088876,1156.507949,1152.226933,1171.019333,1179.674627,1189.807167,1182.818128,1181.978228,1180.202379,1189.319717,1192.04226,1190.665284,1198.211999,1193.464505,1200.509671,1206.085083,1218.156077,1224.88429,1225.981862,1225.122982,1220.996056,1224.651386,1232.668722,1248.756771,1253.76431,1251.908142,1246.781222,1257.841909,1265.99368,1275.144731,1278.050676,1280.137334,1274.857067,1267.199851,1273.613942,1277.615178,1296.263182,1298.929546,1299.522029,1294.506833,1296.60873,1306.548455,1309.028225,1312.702744,1315.342682,1317.204707,1323.932901,1334.593346,1351.193058,1360.385583,1357.796895,1361.902402,1356.853498,1365.339975,1379.906411,1386.003773,1380.541425,1364.033812,1366.167391,1378.182508,1397.970898,1401.793073,1402.129685,1401.670653,1419.812147,1442.873087,1458.803319,1493.991735,1523.718819,1553.362821,1579.929051,1606.539106,1623.310229,1628.073651,1689.144447,1746.462277,1804.594986,1784.014009,1776.932607,1760.03219,1730.929671,1813.175753,1856.40113,1923.412115,1906.392351,1890.998885,1874.886364
Santa Barbara County,2062.116244,2035.293267,2058.01545,2057.53935,2075.97561,2075.196733,2080.728036,2121.792081,2150.417537,2177.882631,2180.227959,2201.144221,2198.197748,2180.786706,2174.358353,2165.666902,2163.245427,2167.642944,2196.648099,2226.731078,2236.014454,2235.548956,2246.061165,2280.717143,2279.127741,2275.859197,2267.103148,2267.669858,2271.252072,2273.072564,2294.172816,2309.257798,2323.383685,2326.996752,2345.561101,2376.331305,2378.240084,2354.999646,2346.401667,2358.19418,2376.916574,2375.83589,2379.481266,2409.140362,2436.676868,2468.374398,2487.567638,2503.360535,2481.311694,2453.428549,2467.799239,2490.019496,2507.923574,2510.267025,2528.215752,2547.578782,2556.872015,2572.902948,2595.932103,2624.17932,2599.087365,2589.235143,2576.173533,2614.293948,2621.798482,2632.091777,2634.297599,2651.326462,2688.179932,2733.093671,2752.432284,2784.919464,2824.407042,2893.303533,2910.313144,2923.898174,2993.533683,3103.93447,3209.336922,3214.250726,3279.167157,3341.604933,3393.078915,3417.723148,3425.3491,3541.821647,3576.617056,3653.050028,3619.418586,3648.155855,3626.816063,3619.754103
Solano County,1534.884182,1546.315095,1546.23218,1556.174637,1567.160077,1590.015924,1605.082886,1615.682801,1618.961791,1622.276782,1633.608558,1637.890932,1658.751352,1674.588166,1686.260416,1694.980507,1695.132709,1711.391517,1721.978026,1732.268129,1743.077025,1754.089142,1771.269879,1780.305771,1789.113642,1791.440475,1802.252407,1817.485637,1835.489526,1847.636713,1853.82679,1860.513014,1870.248552,1872.616053,1874.512414,1883.447574,1904.100334,1919.216218,1922.426006,1927.98695,1935.422596,1946.039509,1956.463909,1967.205291,1976.189,1989.643893,1994.675524,2008.65023,2012.309455,2027.818457,2035.425839,2040.99672,2039.918783,2049.858391,2059.721009,2082.129796,2082.26484,2086.104481,2085.851616,2102.859888,2106.141924,2105.03252,2090.118788,2089.656566,2094.000181,2118.342999,2142.756541,2171.14961,2193.832839,2210.706052,2235.653659,2234.996958,2240.174942,2235.486562,2256.352679,2285.095844,2321.661263,2352.055503,2374.555341,2393.352479,2408.558412,2421.002862,2425.018893,2445.981571,2457.872834,2476.303349,2494.704064,2513.291989,2530.211849,2521.777796,2514.921489,2500.270897
Monterey County,1520.955013,1518.030482,1519.612703,1536.009528,1542.019329,1541.675388,1534.408744,1537.628589,1554.326051,1579.245198,1608.091346,1622.554116,1631.50729,1647.832427,1672.814612,1676.493797,1689.202077,1687.364199,1702.718111,1703.103163,1724.892591,1721.356882,1747.764572,1764.622182,1783.543114,1784.820989,1794.814814,1810.878451,1818.265879,1814.019085,1819.257733,1820.825422,1844.96377,1846.309244,1852.660379,1845.532932,1862.039278,1871.662717,1899.239897,1905.13518,1929.066083,1931.744511,1943.605765,1938.018709,1944.66682,1934.124389,1940.151446,1954.888279,1966.445467,1972.775072,1980.574377,1991.707971,2014.845718,2011.363847,2025.218228,2022.627722,2038.859955,2036.340025,2051.615471,2049.646342,2057.498706,2035.93411,2031.66126,2025.346466,2044.675413,2058.447034,2077.843846,2091.220459,2123.32007,2136.417477,2144.74017,2153.410432,2159.196418,2180.903961,2194.338221,2203.315523,2227.32555,2232.66495,2284.313363,2294.718873,2335.509108,2343.831874,2388.537694,2381.096055,2379.846057,2374.496372,2412.266736,2448.358397,2465.976188,2464.753775,2493.452743,2508.50551
Placer County,1582.491469,1604.689946,1614.891756,1618.292656,1611.813876,1620.442943,1634.15954,1637.488739,1635.518121,1656.360768,1667.6513,1678.998143,1666.847676,1675.646079,1692.278607,1703.843505,1725.686494,1735.105722,1734.204993,1734.774563,1740.314623,1742.864028,1749.841138,1759.836694,1785.916726,1800.969045,1813.26846,1828.535462,1844.279931,1859.573447,1862.58707,1867.618953,1857.03669,1863.219364,1864.179187,1880.230369,1887.280946,1895.973863,1902.849404,1911.983513,1923.924501,1932.29329,1941.792673,1941.080616,1942.035003,1942.594129,1957.864781,1973.880326,1990.926611,1996.247978,2000.47252,2006.523852,2013.793725,2029.930852,2036.888033,2042.497204,2036.671459,2035.495336,2032.046353,2037.449589,2041.999708,2037.829009,2029.3282,2028.340402,2054.022467,2089.387678,2125.978932,2152.973956,2182.921003,2194.347793,2210.902815,2222.650069,2244.795914,2277.052606,2317.500007,2368.146062,2408.391353,2446.350945,2476.487992,2484.109768,2500.947247,2500.361425,2506.41169,2505.187217,2519.152469,2536.533766,2551.546806,2561.299172,2570.976924,2562.958981,2560.016531,2567.1947
